"","Title","freq"
"272","기적 (duet with 이소은)%by%김동률",89
"273","들었다 놨다%by%데이브레이크(daybreak)",89
"274","애송이의 사랑%by%양파",89
"275","STEP%by%카라(Kara)",88
"276","그대네요%by%성시경",88
"277","내입술...따뜻한 커피처럼%by%샵(S#arp)",88
"278","다시 사랑 할 수 있을까 (feat. 다비치)%by%포맨",88
"279","바라만 봐도 좋은데%by%노리플라이(no reply)",88
"280","보통날%by%지오디(god)",88
"281","사랑인가요%by%박새별",88
"282","사랑한다는 말로도 위로가 되지 않는%by%브로콜리너마저",88
"283","아파 (Slow)%by%투애니원(2NE1)",88
"284","조금씩, 천천히, 너에게 (With 타루)%by%노리플라이(no reply)",88
"285","...안 되나요... (부제: 화양연화)%by%휘성",87
"286","12월 32일%by%별",87
"287","Sexy Love%by%티아라(T-ara)",87
"288","사랑 빛%by%씨엔블루(CNBLUE)",87
"289","첫사랑이죠%by%아이유 ＆ 나윤권",87
"290","Promise U%by%바이브(Vibe)",86
"291","그땐 미처 알지 못했지%by%이적",86
"292","길%by%지오디(god)",86
"293","살다가 한번쯤%by%포맨",86
"294","샤이보이 (Shy Boy)%by%시크릿(Secret)",86
"295","말해줘 (feat. 엄정화)%by%지누션(Jinusean)",85
"296","챠우챠우 - 아무리 애를 쓰고 막아 보려 해도 너의 목소리가 들려%by%델리 스파이스(Deli Spice)",85
"297","나를 사랑했던 사람아%by%허각",84
"298","먼지가 되어%by%김광석",84
"299","바다의 왕자%by%박명수",84
"300","사랑에 아파본 적 있나요%by%린(LYn)",84
"301","시작%by%박기영",84
"302","애상%by%10cm(십센치)",84
"303","여름안에서%by%서연",84
"304","우리 처음 만난 날%by%한희정",84
"305","마지막 사랑%by%박기영",83
"306","심장이 없어%by%에이트(8Eight)",83
"307","Little Star%by%스탠딩 에그(Standing Egg)",82
"308","발걸음%by%에메랄드 캐슬(Emerald Castle)",82
"309","별 빛이 내린다%by%안녕 바다",82
"310","속아도 꿈결%by%가을방학",82
"311","애인... 있어요%by%이은미",82
"312","1월부터 6월까지 (feat. 윤종신)%by%공일오비(015B)",81
"313","Heaven%by%김현성",81
"314","My Soul%by%줄라이(July) [뉴에이지]",81
"315","Stay%by%넬(Nell)",81
"316","가수가 된 이유%by%신용재 [4men]",81
"317","듣고 있어?%by%스윙스(Swings)",81
"318","기다리다%by%윤하(Younha/ユンナ)",80
"319","All For You%by%쿨(COOL)",79
"320","귀여워 (With 권정열 Of 10cm)%by%별",79
"321","사랑해%by%스윗소로우(SWEET SORROW)",79
"322","연인%by%김연우",79
"323","한번만 더%by%나얼(Na-Ul)",79
"324","Gentleman%by%싸이(Psy)",78
"325","당신과의 키스를 세어보아요%by%화요비",78
"326","사랑과 전쟁 (Narr. 하하)%by%다비치",78
"327","제발%by%김범수",78
"328","Replay%by%김동률",77
"329","기대%by%나윤권",77
"330","난 사랑에 빠졌죠%by%박지윤",77
"331","내 삶의 반%by%한경일",77
"332","내일을 묻는다 (Album Edit)%by%제이레빗(J Rabbit)",77
"333","너무 아픈 사랑은 사랑이 아니었음을%by%김광석",77
"334","뻔한 멜로디 (feat. Crush)%by%Zion.T",77
"335","사랑의 바보%by%더 넛츠(The Nuts)",77
